Country Name,Time,Adjusted net national income per capita (current US$) [NY.ADJ.NNTY.PC.CD],GDP per capita (current US$) [NY.GDP.PCAP.CD],Current health expenditure per capita (current US$) [SH.XPD.CHEX.PC.CD],Consumer price index (2010 = 100) [FP.CPI.TOTL],"Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]",Gini index [SI.POV.GINI],YoY Change in Adjusted net national income per capita (current US$) [NY.ADJ.NNTY.PC.CD],YoY Change in GDP per capita (current US$) [NY.GDP.PCAP.CD],YoY Change in Consumer price index (2010 = 100) [FP.CPI.TOTL],"YoY Change in Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]"
Albania,2012,3522.372857,4247.631343,262.2885437,105.5303817,2.031592684,29,,,,
Albania,2014,3844.277141,4578.633208,295.1235962,109.3241873,1.625865044,34.6,9.138847502,7.792622246,3.594988945,-19.9709146
Albania,2015,3277.788243,3952.803574,255.3563538,111.3971641,1.896174026,32.8,-14.73590162,-13.66848153,1.896174026,16.62554853
Albania,2016,3467.34757,4124.05539,277.0432129,112.8179589,1.275431684,33.7,5.783147435,4.33241402,1.275431684,-32.73657026
Albania,2017,3729.968219,4531.032207,297.4619751,115.0592696,1.986661332,33.1,7.574107967,9.868364472,1.986661332,55.76383723
Albania,2018,4340.919854,5365.489347,351.3012085,117.3927402,2.028059631,30.1,16.37953997,18.41649103,2.028059631,2.083812592
Albania,2019,4361.999293,5460.428237,367.7583923,119.0492584,1.41109079,30.1,0.4855984349,1.769435823,1.41109079,-30.42163218
Albania,2020,4322.549675,5370.778623,396.880249,120.9789119,1.620886617,29.4,-0.9043930305,-1.641805556,1.620886617,14.86763497
Armenia,2009,2583.616131,2820.592655,246,92.44163764,3.406766827,28,,,,
Armenia,2010,2758.458143,3041.344507,290,100,8.176361385,30,6.767337076,7.82643504,8.176361385,140.0035518
Armenia,2011,2999.033604,3349.553098,325,107.6500081,7.650008079,29.4,8.721374374,10.13395851,7.650008079,-6.437500514
Armenia,2012,3172.034408,3511.563997,333,110.4037169,2.558020078,29.6,5.768551701,4.836791489,2.558020078,-66.56186436
Armenia,2013,3409.886713,3680.166922,396,116.7957253,5.789667785,30.6,7.498415034,4.801362722,5.789667785,126.3339462
Armenia,2014,3524.890871,3852.118006,409,120.2777664,2.981308689,31.5,3.372667997,4.672371884,2.981308689,-48.5063945
Armenia,2015,3150.669544,3512.393503,371,124.7661613,3.731691193,32.4,-10.61653655,-8.819161376,3.731691193,25.16956751
Armenia,2016,3108.22045,3524.424769,366,123.014934,-1.403607559,32.5,-1.347303903,0.3425375309,-1.403607559,-137.6131755
Armenia,2017,3475.204348,3869.053739,419,124.2076293,0.9695532688,33.6,11.80688127,9.778304051,0.9695532688,-169.0758084
Armenia,2018,3687.291522,4196.005623,439,127.337952,2.52023382,34.4,6.10286916,8.450435337,2.52023382,159.9376332
Armenia,2019,4019.858444,4597.228874,549,129.1760073,1.443446608,30,9.019273906,9.562028439,1.443446608,-42.72568695
Armenia,2020,3617.03199,4268.680933,552,130.7408917,1.211435778,25.1,-10.02091142,-7.146651819,1.211435778,-16.07339184
Armenia,2021,3790.564809,4685.179971,613,140.1344107,7.184836294,27.9,4.797657831,9.757089948,7.184836294,493.0843733
