Country Name,Time,Adjusted net national income per capita (current US$) [NY.ADJ.NNTY.PC.CD],GDP per capita (current US$) [NY.GDP.PCAP.CD],Current health expenditure per capita (current US$) [SH.XPD.CHEX.PC.CD],Consumer price index (2010 = 100) [FP.CPI.TOTL],"Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]",Gini index [SI.POV.GINI],CoL_Trend
Albania,2012.0,3522.37285714341,4247.63134315945,262.2885437,105.530381748189,2.03159268395301,29.0,Decreasing
Albania,2014.0,3844.27714101452,4578.63320812155,295.12359619,109.324187306059,1.6258650440261,34.6,Decreasing
Albania,2015.0,3277.78824342231,3952.80357364813,255.35635376,111.397164149808,1.89617402592365,32.8,Decreasing
Albania,2016.0,3467.34757015458,4124.05538986272,277.04321289,112.817958876089,1.2754316836741,33.7,Decreasing
Albania,2017.0,3729.9682187209,4531.03220675893,297.4619751,115.059269640307,1.98666133171199,33.1,Decreasing
Albania,2018.0,4340.91985405721,5365.48934672897,351.3012085,117.392740239274,2.02805963071136,30.1,Decreasing
Albania,2019.0,4361.99929292963,5460.42823730592,367.75839233,119.049258384382,1.41109078954246,30.1,Decreasing
Albania,2020.0,4322.54967533333,5370.77862312929,396.88024902,120.978911881374,1.62088661717011,29.4,Decreasing
Algeria,2011.0,4080.70848289799,5916.31364364343,288.31332397,104.524211505053,4.5242115050527,27.6,Decreasing
Angola,2018.0,1506.72537062869,2538.59139143371,83.89920044,324.2180676186,19.6289379701521,51.3,Rising
Armenia,2009.0,2583.61613061685,2820.5926553347,246.0,92.4416376368405,3.40676682683801,28.0,Decreasing
Armenia,2010.0,2758.45814291575,3041.34450723339,290.0,100.0,8.17636138473952,30.0,Decreasing
Armenia,2011.0,2999.03360449679,3349.55309771906,325.0,107.650008078593,7.65000807859294,29.4,Decreasing
Armenia,2012.0,3172.03440849408,3511.56399687426,333.0,110.403716898759,2.55802007757907,29.6,Decreasing
Armenia,2013.0,3409.88671346962,3680.16692158886,396.0,116.795725329982,5.78966778544651,30.6,Decreasing
Armenia,2014.0,3524.89087138158,3852.11800610384,409.0,120.277766438018,2.98130868933672,31.5,Decreasing
Armenia,2015.0,3150.66954352232,3512.39350276709,371.0,124.766161254862,3.73169119261693,32.4,Decreasing
Armenia,2016.0,3108.22044979775,3524.42476874707,366.0,123.014933984404,-1.403607559009,32.5,Decreasing
Armenia,2017.0,3475.20434794516,3869.05373867752,419.0,124.207629297981,0.969553268816138,33.6,Decreasing
Armenia,2018.0,3687.29152233789,4196.00562301769,439.0,127.33795197859,2.52023382001638,34.4,Decreasing
Armenia,2019.0,4019.85844444165,4597.22887399548,549.0,129.176007326748,1.44344660770698,30.0,Decreasing
Armenia,2020.0,3617.03199044272,4268.68093304583,552.0,130.740891696593,1.21143577838465,25.1,Decreasing
Armenia,2021.0,3790.56480898451,4685.17997128509,613.0,140.134410734876,7.18483629443371,27.9,Decreasing
Australia,2010.0,40434.7356960586,52144.6654705468,4975.47070313,100.0,2.91834002677376,34.7,Normal
Australia,2014.0,48732.9249252793,62544.0873773726,6130.99853516,110.379812695109,2.48792270531404,34.4,Normal
Australia,2016.0,39077.6893174716,49888.0410842736,5453.92480469,113.475546305931,1.27699094497324,33.7,Normal
Australia,2018.0,44204.1255021825,57196.4220783778,5857.28808594,117.89802289282,1.91140094445691,34.3,Normal
Austria,2009.0,39649.3948236994,47857.4446635266,4929.0,98.2187688495277,0.506308827696515,31.5,Normal
Austria,2010.0,39022.2561552357,46611.1393420232,4801.0,100.0,1.81353438995062,30.3,Normal
